Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,lat,long
Leksand,Alvik,2014-07-08,  Tjänligt m. Anm.,,  23,3,0,0
Leksand,Alvik,2014-07-15,  Tjänligt,,  19,5,0,0
Leksand,Alvik,2014-07-29,  Tjänligt,,  26,1,0,0
Linköping,Amundebosjön,2014-06-10,  Tjänligt,,  23,3,0,0
Linköping,Amundebosjön,2014-07-15,  Tjänligt,,  21,0,0
Aneby,Anebysjön,2014-06-17,  Tjänligt,  > 0,5,  17,1,0,0
Aneby,Anebysjön,2014-07-15,  Otjänligt,  > 0,5,  20,7,0,0
Aneby,Anebysjön,2014-07-29,  Tjänligt,  > 0,5,  25,9,0,0
Aneby,Anebysjön,2014-08-25,  Tjänligt,  > 0,5,  14,9,0,0
Nässjö,Anebysjön, Flisby badpl.,2014-05-20,  Tjänligt,,  13,0,0
Nässjö,Anebysjön, Flisby badpl.,2014-06-24,  Tjänligt,,  19,0,0
Nässjö,Anebysjön, Flisby badpl.,2014-08-05,  Tjänligt,,  21,0,0
Vimmerby,Anen,2014-06-02,  Tjänligt,  > 1,28,  17,2,0,0
Vimmerby,Anen,2014-06-26,  Tjänligt,  1,2,  17,1,0,0
Vimmerby,Anen,2014-07-10,  Tjänligt,  1,28,  21,0,0
Vimmerby,Anen,2014-07-24,  Tjänligt m. Anm.,  > 1,1,  23,3,0,0
Vimmerby,Anen,2014-07-31,  Tjänligt,  > 1,1,  23,3,0,0
Vimmerby,Anen,2014-08-07,  Tjänligt,  > 1,17,  21,1,0,0
Vimmerby,Anen,2014-08-21,  Tjänligt,  > 1,1,  15,9,0,0
Bjurholm,Angsjöns camping,2014-07-17,  Tjänligt,  > 1,  23,0,0
Bjurholm,Angsjöns camping,2014-08-06,  Tjänligt,  < 1,  22,1,0,0
Piteå,Ankargrund, Ankarskatan,2014-08-05,  Tjänligt,,  23,0,0
Hudiksvall,Ankarmon,2014-06-30,  Tjänligt,,  14,0,0
Hudiksvall,Ankarmon,2014-07-30,  Tjänligt,,  23,0,0
Värnamo,Annebergssjön,2014-06-10,  Tjänligt,,  19,0,0
Värnamo,Annebergssjön,2014-07-08,  Tjänligt,,  22,0,0
Värnamo,Annebergssjön,2014-08-05,  Tjänligt,,  24,0,0
Lerum,Annesjön,2014-06-12,  Tjänligt,,  21,9,0,0
Lerum,Annesjön,2014-07-07,  Tjänligt,,  22,1,0,0
Lerum,Annesjön,2014-07-22,  Tjänligt,,  24,2,0,0
Lerum,Annesjön,2014-08-12,  Tjänligt,,  20,4,0,0
Finspång,Annsjön, Ljusfallshammar,2014-06-11,  Tjänligt,  2,  20,5,0,0
Finspång,Annsjön, Ljusfallshammar,2014-07-09,  Tjänligt,  1,6,  20,5,0,0
Finspång,Annsjön, Ljusfallshammar,2014-08-12,  Tjänligt,  1,6,  22,0,0
Alingsås,Anten, Gräfsnäs slottspark,2014-06-10,  Tjänligt,,  19,0,0
Alingsås,Anten, Gräfsnäs slottspark,2014-07-01,  Tjänligt,,  17,0,0
Alingsås,Anten, Gräfsnäs slottspark,2014-07-22,  Tjänligt,,  21,0,0
Alingsås,Anten, Gräfsnäs slottspark,2014-08-12,  Tjänligt,,  20,0,0
Alingsås,Anten, Looviken,2014-06-10,  Tjänligt,,  18,0,0
Alingsås,Anten, Looviken,2014-07-01,  Tjänligt m. Anm.,,  17,0,0
Alingsås,Anten, Looviken,2014-07-22,  Tjänligt,,  19,0,0
Alingsås,Anten, Looviken,2014-08-12,  Tjänligt,,  21,0,0
Alingsås,Anten, Vängaviken,2014-06-10,  Tjänligt,,  18,0,0
Alingsås,Anten, Vängaviken,2014-07-01,  Tjänligt,,  16,0,0
Alingsås,Anten, Vängaviken,2014-07-22,  Tjänligt,,  22,0,0
Alingsås,Anten, Vängaviken,2014-08-12,  Tjänligt m. Anm.,,  19,0,0
Alingsås,Antens södra strand,2014-06-10,  Tjänligt,,  17,0,0
Alingsås,Antens södra strand,2014-07-01,  Tjänligt,,  17,0,0
Alingsås,Antens södra strand,2014-07-22,  Tjänligt,,  23,0,0
Alingsås,Antens södra strand,2014-08-12,  Tjänligt,,  20,0,0
Varberg,Apelviken 1,2014-05-26,  Tjänligt,,  16,8,0,0
Varberg,Apelviken 1,2014-06-02,  Tjänligt,,  16,7,0,0
Varberg,Apelviken 1,2014-06-16,  Tjänligt,  0,5,  16,3,0,0
Varberg,Apelviken 1,2014-06-23,  Tjänligt,  2,  16,2,0,0
Varberg,Apelviken 1,2014-07-14,  Tjänligt,  2,  19,7,0,0
Varberg,Apelviken 1,2014-08-04,  Tjänligt,,  21,8,0,0
Varberg,Apelviken 1,2014-08-25,  Tjänligt,,  15,0,0
Varberg,Apelviken 2,2014-05-26,  Tjänligt,,  18,2,0,0
Varberg,Apelviken 2,2014-06-02,  Tjänligt,,  17,2,0,0
Varberg,Apelviken 2,2014-06-16,  Tjänligt,  2,  16,2,0,0
Varberg,Apelviken 2,2014-06-23,  Tjänligt,  2,  17,2,0,0
Varberg,Apelviken 2,2014-07-14,  Tjänligt m. Anm.,  2,  20,0,0
Varberg,Apelviken 2,2014-08-04,  Tjänligt m. Anm.,,  21,2,0,0
Varberg,Apelviken 2,2014-08-25,  Tjänligt m. Anm.,,  15,0,0
Sunne,Aplungen, Hensgård,2014-06-16,  Tjänligt,,  19,0,0
Sunne,Aplungen, Hensgård,2014-07-14,  Tjänligt,,  21,5,0,0
Luleå,Arcus camping,2014-07-09,  Tjänligt,,  12,0,0
Luleå,Arcus camping,2014-07-24,  Tjänligt,,  23,0,0
Luleå,Arcus camping,2014-07-29,  Tjänligt,,  21,0,0
Gotland,Ardre, Ljugarn,2014-06-17,  Tjänligt,,  14,0,0
Gotland,Ardre, Ljugarn,2014-07-08,  Tjänligt,,  21,0,0
Gotland,Ardre, Ljugarn,2014-07-29,  Tjänligt,,  24,0,0
