Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,Lat,Long,ID
Alingsås,Playa Mjörn,2014-07-22,  Tjänligt m. Anm.,,  18,0,0,153
Alingsås,Playa Mjörn,2014-08-12,  Tjänligt,,  19,0,0,154
Arvika,Rinnen,2014-06-25,  Tjänligt,,  17,8,0,0,155
Avesta,Sandvikabadet,2014-06-11,  Tjänligt,,  18,0,0,156
Avesta,Sandvikabadet,2014-07-10,  Tjänligt,,  22,0,0,157
Avesta,Sandvikabadet,2014-08-07,  Tjänligt,,  22,3,0,0,158
Alvesta,Sjöanäs,2014-06-10,  Tjänligt,,  23,0,0,159
Alvesta,Sjöanäs,2014-07-01,  Tjänligt,,  19,0,0,160
Alvesta,Sjöanäs,2014-07-22,  Tjänligt,,  23,0,0,161
Alvesta,Sjöby badplats,2014-06-10,  Otjänligt,,  24,1,0,0,162
Alvesta,Sjöby badplats,2014-06-18,  Tjänligt,,  23,0,0,163
Alvesta,Sjöby badplats,2014-07-01,  Tjänligt,,  18,7,0,0,164
Alvesta,Sjöby badplats,2014-07-22,  Tjänligt,,  24,0,0,165
Avesta,Sjövik,2014-07-08,  Tjänligt,,  22,0,0,166
Askersund,Skiren,2014-06-24,  Tjänligt,,  19,1,0,0,167
Askersund,Skiren,2014-07-09,  Tjänligt,,  24,6,0,0,168
Aneby,Skärsjösjön,2014-06-17,  Tjänligt,  0,8,  18,8,0,0,169
Aneby,Skärsjösjön,2014-07-15,  Tjänligt,  1,  20,2,0,0,170
Aneby,Skärsjösjön,2014-08-25,  Tjänligt,,  14,8,0,0,171
Alvesta,Spånen,2014-06-10,  Tjänligt,  0,6,  21,1,0,0,172
Alvesta,Spånen,2014-07-01,  Tjänligt,,  20,0,0,173
Alvesta,Spånen,2014-07-22,  Tjänligt,,  23,0,0,174
Alingsås,Stora Färgen, Lygnareds camping,2014-06-10,  Tjänligt,,  20,5,0,0,175
Alingsås,Stora Färgen, Lygnareds camping,2014-07-01,  Tjänligt,,  18,0,0,176
Alingsås,Stora Färgen, Lygnareds camping,2014-07-22,  Tjänligt,,  23,0,0,177
Alingsås,Stora Färgen, Lygnareds camping,2014-08-12,  Tjänligt m. Anm.,,  19,0,0,178
Arvika,Stora Lesjön,2014-07-09,  Tjänligt,,  21,4,0,0,179
Arvidsjaur,Suddesjaur,2014-07-28,  Tjänligt,,  20,0,0,180
Ale,Surtesjön,2014-06-03,  Tjänligt,  2,8,  18,0,0,181
Ale,Surtesjön,2014-06-16,  Tjänligt,  2,4,  19,0,0,182
Ale,Surtesjön,2014-07-01,  Tjänligt,  2,5,  17,0,0,183
Ale,Surtesjön,2014-07-15,  Tjänligt,  2,5,  20,0,0,184
Ale,Surtesjön,2014-07-28,  Tjänligt,  2,5,  23,0,0,185
Ale,Surtesjön,2014-08-11,  Tjänligt,  2,45,  21,0,0,186
Alingsås,Sävelången, Ingareds badplats,2014-06-10,  Tjänligt,,  19,0,0,187
Alingsås,Sävelången, Ingareds badplats,2014-07-01,  Tjänligt,,  19,0,0,188
Alingsås,Sävelången, Ingareds badplats,2014-07-22,  Tjänligt,,  22,0,0,189
Alingsås,Sävelången, Ingareds badplats,2014-08-12,  Tjänligt,,  20,0,0,190
Aneby,Söljen,2014-06-17,  Tjänligt,  1,7,  18,3,0,0,191
Aneby,Söljen,2014-07-15,  Tjänligt,  1,75,  20,3,0,0,192
Aneby,Söljen,2014-08-25,  Tjänligt,  1,4,  14,7,0,0,193
Alvesta,Sörsjön,2014-06-10,  Tjänligt,,  22,0,0,194
Alvesta,Sörsjön,2014-07-01,  Tjänligt,,  18,0,0,195
Alvesta,Sörsjön,2014-07-22,  Tjänligt,,  23,0,0,196
Avesta,Tjärnsjön,2014-06-11,  Tjänligt,,  20,0,0,197
Avesta,Tjärnsjön,2014-07-10,  Tjänligt,,  24,0,0,198
Avesta,Tjärnsjön,2014-08-07,  Tjänligt,,  23,2,0,0,199
Alvesta,Torne,2014-06-10,  Tjänligt,  0,5,  22,9,0,0,200
Alvesta,Torne,2014-07-01,  Tjänligt,,  20,0,0,201
Alvesta,Torne,2014-07-22,  Tjänligt,,  23,0,0,202
Arvika,Treen,2014-06-25,  Tjänligt,,  16,5,0,0,203
Alvesta,Ulvö,2014-06-10,  Tjänligt,,  23,0,0,204
Alvesta,Ulvö,2014-07-01,  Tjänligt,,  19,5,0,0,205
Alvesta,Ulvö,2014-07-22,  Tjänligt,,  23,0,0,206
Avesta,Utsundsbadet,2014-06-11,  Tjänligt,,  17,0,0,207
Avesta,Utsundsbadet,2014-07-10,  Tjänligt,,  19,0,0,208
Avesta,Utsundsbadet,2014-08-07,  Tjänligt,,  22,0,0,209
Askersund,Veden,2014-06-24,  Tjänligt,,  19,3,0,0,210
Askersund,Veden,2014-07-09,  Tjänligt,,  24,7,0,0,211
Askersund,Viksjön,2014-06-24,  Tjänligt,,  18,5,0,0,212
Askersund,Viksjön,2014-07-30,  Tjänligt,,  24,7,0,0,213
Ale,Vimmersjön,2014-06-03,  Tjänligt,  1,1,  18,0,0,214
Ale,Vimmersjön,2014-06-16,  Tjänligt,  1,  19,0,0,215
Ale,Vimmersjön,2014-07-01,  Tjänligt m. Anm.,  1,  17,0,0,216
Ale,Vimmersjön,2014-07-15,  Tjänligt,  1,2,  21,0,0,217
Ale,Vimmersjön,2014-07-28,  Tjänligt,  1,15,  22,0,0,218
Ale,Vimmersjön,2014-08-11,  Tjänligt,  0,9,  20,0,0,219
Aneby,Viredaholmssjön,2014-06-17,  Tjänligt,  1,3,  19,0,0,220
Aneby,Viredaholmssjön,2014-07-15,  Tjänligt,  1,3,  20,4,0,0,221
Aneby,Viredaholmssjön,2014-08-25,  Tjänligt,  > 1,3,  16,0,0,222
Arvika,Värmeln Edane,2014-07-09,  Tjänligt,,  21,8,0,0,223
Arvika,Värmeln Årnäs,2014-06-25,  Tjänligt,,  18,4,0,0,224
Alvesta,Åboda,2014-06-10,  Tjänligt,  0,7,  22,0,0,225
Alvesta,Åboda,2014-07-01,  Tjänligt,,  19,0,0,226
Alvesta,Åboda,2014-07-22,  Tjänligt,,  22,0,0,227
Avesta,Åsgarn,2014-07-08,  Tjänligt m. Anm.,,  20,0,0,228
Avesta,Åsgarn,2014-07-16,  Tjänligt,,  22,0,0,229
Alingsås,Ömmern, Sandvik,2014-06-10,  Tjänligt,,  20,0,0,230
Alingsås,Ömmern, Sandvik,2014-07-01,  Tjänligt,,  18,0,0,231
Alingsås,Ömmern, Sandvik,2014-07-22,  Tjänligt,,  21,0,0,232
Alingsås,Ömmern, Sandvik,2014-08-12,  Tjänligt,,  20,0,0,233
